#time,freq,phase,mode,amplitude
100,50,0,1,-2
200,52,0,-2,-2
300,54,0,-2,-2
400,56,0,-2,-2
500,58,0,-2,-2
600,60,0,-2,-2
700,63,0,-2,-2
800,66,0,-2,-2
900,69,0,-2,-2
1000,72,0,-2,-2
1100,75,0,-2,-2
1200,78,0,-2,-2
1300,81,0,-2,-2
1400,85,0,-2,-2
1500,89,0,-2,-2
1600,93,0,-2,-2
1700,97,0,-2,-2
1800,101,0,-2,-2
1900,106,0,-2,-2
2000,111,0,-2,-2
2100,116,0,-2,-2
2200,121,0,-2,-2
2300,127,0,-2,-2
2400,133,0,-2,-2
2500,139,0,-2,-2
2600,145,0,-2,-2
2700,152,0,-2,-2
2800,159,0,-2,-2
2900,166,0,-2,-2
3000,174,0,-2,-2
3100,182,0,-2,-2
3200,191,0,-2,-2
3300,200,0,-2,-2
3400,210,0,-2,-2
3500,220,0,-2,-2
3600,231,0,-2,-2
3700,242,0,-2,-2
3800,254,0,-2,-2
3900,266,0,-2,-2
4000,279,0,-2,-2
4100,292,0,-2,-2
4200,306,0,-2,-2
4300,321,0,-2,-2
4400,337,0,-2,-2
4500,353,0,-2,-2
4600,370,0,-2,-2
4700,388,0,-2,-2
4800,407,0,-2,-2
4900,427,0,-2,-2
5000,448,0,-2,-2
5100,470,0,-2,-2
5200,493,0,-2,-2
5300,517,0,-2,-2
5400,542,0,-2,-2
5500,569,0,-2,-2
5600,597,0,-2,-2
5700,626,0,-2,-2
5800,657,0,-2,-2
5900,689,0,-2,-2
6000,723,0,-2,-2
6100,759,0,-2,-2
6200,796,0,-2,-2
6300,835,0,-2,-2
6400,876,0,-2,-2
6500,919,0,-2,-2
6600,964,0,-2,-2
6700,1012,0,-2,-2
6800,1062,0,-2,-2
6900,1115,0,-2,-2
7000,1170,0,-2,-2
7100,1228,0,-2,-2
7200,1289,0,-2,-2
7300,1353,0,-2,-2
7400,1420,0,-2,-2
7500,1491,0,-2,-2
7600,1565,0,-2,-2
7700,1643,0,-2,-2
7800,1725,0,-2,-2
7900,1811,0,-2,-2
8000,1901,0,-2,-2
8100,1996,0,-2,-2
8200,2095,0,-2,-2
8300,2199,0,-2,-2
8400,2308,0,-2,-2
8500,2423,0,-2,-2
8600,2544,0,-2,-2
8700,2671,0,-2,-2
8800,2804,0,-2,-2
8900,2944,0,-2,-2
9000,3091,0,-2,-2
9100,3245,0,-2,-2
9200,3407,0,-2,-2
9300,3577,0,-2,-2
9400,3755,0,-2,-2
9500,3942,0,-2,-2
9600,4139,0,-2,-2
9700,4345,0,-2,-2
9800,4562,0,-2,-2
9900,4790,0,-2,-2
10000,5029,0,-2,-2
10100,5280,0,-2,-2
10200,5544,0,-2,-2
10300,5821,0,-2,-2
10400,6112,0,-2,-2
10500,6417,0,-2,-2
10600,6737,0,-2,-2
10700,7073,0,-2,-2
10800,7426,0,-2,-2
10900,7797,0,-2,-2
11000,8186,0,-2,-2
11100,8595,0,-2,-2
11200,9024,0,-2,-2
11300,9475,0,-2,-2
11400,9948,0,-2,-2
11500,10445,0,-2,-2
11600,10967,0,-2,-2
11700,11515,0,-2,-2
11800,12090,0,-2,-2
11900,12694,0,-2,-2
12000,13328,0,-2,-2
12100,13994,0,-2,-2
12200,14693,0,-2,-2
12300,15427,0,-2,-2
12400,16198,0,-2,-2
12500,17007,0,-2,-2
12600,17857,0,-2,-2
12700,18749,0,-2,-2
12800,19686,0,-2,-2
12900,20670,0,-2,-2
13000,21703,0,-2,-2
13100,22788,0,-2,-2
13200,23927,0,-2,-2
13300,25123,0,-2,-2
13400,26379,0,-2,-2
13500,27697,0,-2,-2
13600,29081,0,-2,-2
13700,30535,0,-2,-2
13800,32061,0,-2,-2
13900,33664,0,-2,-2
14000,35347,0,-2,-2
14100,37114,0,-2,-2
14200,38969,0,-2,-2
14300,40917,0,-2,-2
14400,42962,0,-2,-2
14500,45110,0,-2,-2
14600,47365,0,-2,-2
14700,49733,0,-2,-2
14800,52219,0,-2,-2
14900,54829,0,-2,-2
15000,57570,0,-2,-2
15100,60448,0,-2,-2
15200,63470,0,-2,-2
15300,66643,0,-2,-2
15400,69975,0,-2,-2
15500,73473,0,-2,-2
15600,77146,0,-2,-2
15700,81003,0,-2,-2
15800,85053,0,-2,-2
15900,89305,0,-2,-2
16000,93770,0,-2,-2
16100,98458,0,-2,-2
16200,103380,0,-2,-2
